employee_id,papi_a,papi_b,papi_c,papi_d,papi_e,papi_f,papi_g,papi_i,papi_k,papi_l,papi_n,papi_o,papi_p,papi_r,papi_s,papi_t,papi_v,papi_w,papi_x,papi_z
DUP1942,6.0,4.918201516793066,1.0,4.0,3.0,5.0,4.0,1.0,3.0,6.0,5.09277238403452,3.0,5.0,7.0,9.0,9.0,1.0,8.0,3.0,4.976151761517615
DUP2096,1.0,6.0,9.0,3.0,4.0,1.0,2.0,6.0,9.0,3.0,1.0,4.0,4.0,6.0,8.0,2.0,6.0,3.0,8.0,2.0
DUP2722,2.0,4.918201516793066,6.0,4.0,1.0,4.0,9.0,9.0,1.0,3.0,8.0,2.0,4.996811902231668,6.0,1.0,7.0,3.0,6.0,3.0,3.0
DUP3015,5.0,4.0,3.0,4.0,9.0,2.0,8.0,9.0,1.0,7.0,5.0,1.0,8.0,7.0,3.0,4.9535135135135135,4.905609492988134,3.0,5.0,3.0
DUP3452,7.0,9.0,1.0,9.0,7.0,3.0,4.931536388140162,2.0,1.0,4.0,5.09277238403452,4.892915980230643,4.0,2.0,9.0,4.9535135135135135,9.0,1.0,6.0,4.0
DUP4177,9.0,7.0,2.0,6.0,1.0,5.057158410451824,4.0,4.0,3.0,9.0,8.0,3.0,3.0,5.026344086021505,7.0,6.0,3.0,1.0,3.0,2.0
DUP5237,9.0,3.0,3.0,2.0,3.0,2.0,2.0,5.036314363143632,8.0,8.0,3.0,2.0,2.0,5.0,4.0,6.0,4.0,9.0,7.0,9.0
DUP9015,6.0,8.0,6.0,1.0,4.0,8.0,4.0,9.0,7.0,5.099836333878887,4.0,4.0,6.0,4.0,1.0,5.0,1.0,8.0,8.0,5.0
DUP9129,9.0,4.918201516793066,4.0,9.0,5.0,1.0,1.0,5.0,9.0,3.0,2.0,4.0,3.0,6.0,5.0,2.0,9.0,6.0,6.0,3.0
DUP9801,1.0,1.0,4.0,7.0,8.0,2.0,9.0,6.0,5.0,5.099836333878887,2.0,7.0,5.0,6.0,3.0,9.0,9.0,4.98696360673547,9.0,1.0
EMP100000,1.0,6.0,5.0,4.977813852813853,1.0,3.0,5.0,8.0,5.0158469945355195,7.0,2.0,9.0,3.0,7.0,9.0,3.0,4.0,4.0,2.0,1.0
