employee_id,strength_rank_1,strength_rank_2,strength_rank_3,strength_rank_4,strength_rank_5
DUP1942,Learner,Maximizer,Ideation,Harmony,Restorative
DUP2096,Command,Significance,Competition,Discipline,Woo
DUP2722,Individualization,Self-Assurance,Unknown,Analytical,Input
DUP3015,Responsibility,Context,Includer,Communication,Ideation
DUP3452,Developer,Arranger,Self-Assurance,Futuristic,Learner
DUP4177,Arranger,Significance,Harmony,Strategic,Adaptability
DUP5237,Harmony,Discipline,Connectedness,Learner,Analytical
DUP9015,Belief,Relator,Unknown,Consistency,Context
DUP9129,Belief,Empathy,Focus,Ideation,Unknown
DUP9801,Unknown,Responsibility,Communication,,Positivity
EMP100000,Unknown,Adaptability,Context,Competition,Activator
EMP100001,Responsibility,Includer,Significance,Context,Adaptability
EMP100002,Restorative,Maximizer,Woo,Includer,Command
EMP100003,Belief,Intellection,Arranger,Unknown,Adaptability
EMP100004,Deliberative,Command,Woo,Communication,Ideation
EMP100005,Input,Relator,Woo,Deliberative,Consistency
EMP100006,Input,Analytical,Responsibility,Maximizer,Self-Assurance
EMP100007,Connectedness,Strategic,Consistency,Communication,Focus
EMP100008,Unknown,Ideation,Focus,Individualization,Positivity
EMP100009,Analytical,Developer,Relator,Belief,Ideation
EMP100010,Activator,Includer,Arranger,Developer,Restorative
EMP100011,Empathy,Intellection,Activator,Deliberative,Adaptability
EMP100012,Belief,Empathy,Focus,Positivity,Discipline
EMP100013,Unknown,Consistency,Adaptability,Restorative,Connectedness
EMP100014,Empathy,Maximizer,Focus,Significance,Restorative
EMP100015,Restorative,Analytical,Significance,Achiever,Responsibility
EMP100016,Adaptability,Relator,Discipline,Futuristic,Input
EMP100017,Individualization,Positivity,Input,Communication,Empathy
EMP100018,Harmony,Arranger,Connectedness,Input,Discipline
EMP100019,Strategic,Discipline,Arranger,Unknown,Empathy
EMP100020,Includer,Command,Adaptability,Analytical,Unknown
EMP100021,Significance,Activator,Futuristic,Self-Assurance,Responsibility
EMP100022,Discipline,Self-Assurance,Strategic,Input,Includer
EMP100023,Arranger,Strategic,Futuristic,Self-Assurance,Focus
EMP100024,Connectedness,Adaptability,Competition,Context,Unknown
EMP100025,Adaptability,Relator,Strategic,Unknown,Positivity
EMP100026,Competition,Harmony,Deliberative,Focus,Maximizer
EMP100027,Discipline,Includer,Command,Arranger,Deliberative
EMP100028,Deliberative,Significance,Arranger,Strategic,Communication
EMP100029,Maximizer,Ideation,Intellection,Individualization,Learner
EMP100030,Restorative,Responsibility,Input,Intellection,Relator
EMP100031,Maximizer,Arranger,Responsibility,Unknown,Includer
EMP100032,Maximizer,Learner,Unknown,Discipline,Individualization
EMP100033,Futuristic,Discipline,Input,Individualization,Includer
EMP100034,Achiever,Self-Assurance,Relator,Significance,Competition
EMP100035,Command,Includer,Unknown,,Adaptability
EMP100036,Woo,Deliberative,Context,Positivity,Relator
EMP100037,Connectedness,Responsibility,Analytical,Context,Command
EMP100038,Belief,Empathy,Focus,Ideation,Unknown
EMP100039,Futuristic,Developer,Woo,Self-Assurance,Learner
EMP100040,Discipline,Self-Assurance,Learner,Analytical,Achiever
EMP100041,Intellection,Connectedness,Significance,Deliberative,Unknown
EMP100042,Command,Adaptability,Intellection,Positivity,Empathy
EMP100043,Learner,Individualization,Relator,Positivity,Communication
EMP100044,Focus,Communication,Arranger,Competition,Self-Assurance
EMP100045,Ideation,Positivity,Belief,Empathy,Significance
EMP100046,Adaptability,Empathy,Unknown,Belief,Positivity
EMP100047,Competition,Includer,Connectedness,Unknown,
EMP100048,Relator,Context,Deliberative,Achiever,Intellection
EMP100049,Achiever,Unknown,Ideation,Strategic,Discipline
EMP100050,Unknown,Competition,Learner,Input,Futuristic
EMP100051,Analytical,Developer,Positivity,Unknown,Learner
EMP100052,Unknown,Responsibility,Communication,Futuristic,Activator
EMP100053,Self-Assurance,Positivity,Learner,Input,Includer
EMP100054,Includer,Maximizer,Focus,Intellection,Activator
EMP100055,Discipline,Input,Unknown,Individualization,Belief
EMP100056,Achiever,Command,Positivity,Belief,Intellection
EMP100057,Empathy,Maximizer,Unknown,Positivity,Analytical
EMP100058,Self-Assurance,Empathy,Futuristic,Context,Command
EMP100059,Activator,Connectedness,Positivity,Learner,Arranger
EMP100060,Deliberative,Activator,Competition,Futuristic,Unknown
EMP100061,Competition,Individualization,Unknown,Adaptability,Command
EMP100062,Learner,Individualization,Woo,Deliberative,Context
EMP100063,Unknown,Woo,,Adaptability,Self-Assurance
EMP100064,Futuristic,Ideation,Arranger,Adaptability,Achiever
EMP100065,Harmony,Focus,Command,Developer,Learner
EMP100066,Ideation,Unknown,Responsibility,Individualization,Strategic
EMP100067,Intellection,Empathy,Strategic,Connectedness,Includer
EMP100068,Discipline,Unknown,Ideation,Individualization,Activator
EMP100069,Restorative,Analytical,Command,Learner,Arranger
EMP100070,Empathy,Self-Assurance,Restorative,Belief,Adaptability
EMP100071,Maximizer,Woo,Achiever,Focus,Strategic
EMP100072,Command,Relator,Harmony,Individualization,Empathy
EMP100073,Communication,Restorative,Unknown,Positivity,Strategic
EMP100074,Relator,Achiever,Consistency,Developer,Woo
EMP100075,Developer,Positivity,Intellection,Unknown,Harmony
EMP100076,Unknown,Empathy,Activator,Ideation,Communication
EMP100077,Discipline,Deliberative,Unknown,Intellection,Maximizer
EMP100078,Deliberative,Unknown,Context,Ideation,Achiever
EMP100079,Deliberative,Achiever,Focus,Strategic,Unknown
EMP100080,Context,Maximizer,Positivity,Achiever,Unknown
EMP100081,Empathy,Learner,Intellection,Activator,Arranger
EMP100082,Command,Ideation,Connectedness,Significance,Empathy
EMP100083,Communication,Unknown,Restorative,Futuristic,Intellection
EMP100084,Ideation,Input,Focus,Maximizer,Restorative
EMP100085,Unknown,Empathy,Connectedness,Positivity,Consistency
EMP100086,Consistency,Responsibility,Relator,Connectedness,Positivity
EMP100087,Activator,Responsibility,Learner,Maximizer,Unknown
EMP100088,Ideation,Relator,Woo,Input,Discipline
EMP100089,Arranger,Woo,Ideation,Learner,Empathy
EMP100090,Adaptability,Strategic,Significance,Achiever,Relator
EMP100091,Relator,Activator,Deliberative,Learner,Command
EMP100092,Analytical,Intellection,Maximizer,Adaptability,Communication
EMP100093,Harmony,Discipline,Learner,Achiever,Individualization
EMP100094,Intellection,Focus,Input,Ideation,Communication
